n,p,gammas_fisicos,betas,reinicio_mejor,esperanza,optimo_exacto,razon_esperada,probabilidad_optimo,bitstring_mas_probable,costo_bitstring_mas_probable,probabilidad_mas_alta,gamma_fisico_1,beta_1,gamma_fisico_2,beta_2,gamma_fisico_3,beta_3
6,1,[0.09611652644354386],[0.392699093243063],4,32.11344632476574,38.301789578,0.8384320074488437,0.1574175064698995,100010,38.30178957666869,0.07870875323494975,0.09611652644354386,0.392699093243063,,,,
6,2,"[0.06648079698606009, 0.14281062466940617]","[0.5370872586705523, 0.23408295423699593]",3,33.631223127940316,38.301789578,0.8780587930350287,0.2184214864847911,100010,38.30178957666869,0.10921074324239555,0.06648079698606009,0.5370872586705523,0.14281062466940617,0.23408295423699593,,
6,3,"[0.07952650846421255, 0.1370744662633656, 0.15412968857060486]","[0.5982047480202383, 0.45898147025636066, 0.2990286676870169]",3,35.13598452098282,38.301789578,0.9173457665582401,0.3792347701492646,100010,38.30178957666869,0.1896173850746323,0.07952650846421255,0.5982047480202383,0.1370744662633656,0.45898147025636066,0.15412968857060486,0.2990286676870169
8,1,[0.09546970475446319],[0.39269906942299854],5,34.26318835186908,42.218037148,0.8115770098869278,0.04687826369593861,11010010,42.218037146668195,0.023439131847969304,0.09546970475446319,0.39269906942299854,,,,
8,2,"[0.06924769935725746, 0.14375230097402888]","[0.5291866525161367, 1.8019489504534667]",7,36.09238531050085,42.218037148,0.8549043903669657,0.07680697959434885,11010010,42.218037146668195,0.03840348979717442,0.06924769935725746,0.5291866525161367,0.14375230097402888,1.8019489504534667,,
8,3,"[0.07757595472153715, 0.13582782857573483, 0.14882703535347191]","[2.1586015042784155, 1.986191237234369, 1.8305986331067317]",10,37.7619525204957,42.218037148,0.8944506914927616,0.15349086921443938,11010010,42.218037146668195,0.07674543460721969,0.07757595472153715,2.1586015042784155,0.13582782857573483,1.986191237234369,0.14882703535347191,1.8305986331067317
10,1,[0.04930168766689827],[0.392699078691232],2,69.11824886981353,87.07504782800001,0.7937779030146882,0.01645128132388452,1100101010,87.07504782611689,0.00822564066194226,0.04930168766689827,0.392699078691232,,,,
10,2,"[0.03730248900539423, 0.07215827569329401]","[2.062768376682386, 1.7798315523563017]",5,73.42394926211966,87.07504782800001,0.8432260572185334,0.02711137555304355,1100101010,87.07504782611689,0.013555687776521774,0.03730248900539423,2.062768376682386,0.07215827569329401,1.7798315523563017,,
10,3,"[0.03610147913864077, 0.07014521620481483, 0.07215827569329401]","[2.1327026822716824, 1.8829327178435242, 0.16068418595078163]",4,75.86173388975661,87.07504782800001,0.871222419993462,0.042463598560791,1100101010,87.07504782611689,0.0212317992803955,0.03610147913864077,2.1327026822716824,0.07014521620481483,1.8829327178435242,0.07215827569329401,0.16068418595078163
12,1,[0.049831860807089914],[0.3926990854865166],4,72.86035909199637,93.299621336,0.780928776008686,0.005384685560880819,111001001010,93.29962133393254,0.0026923427804404097,0.049831860807089914,0.3926990854865166,,,,
12,2,"[0.035833873663952374, 0.06734416728822452]","[0.4719901999808215, 0.2029283727010419]",4,77.06269077982085,93.299621336,0.8259700272769053,0.009035508882642148,111001001010,93.29962133393254,0.004517754441321074,0.035833873663952374,0.4719901999808215,0.06734416728822452,0.2029283727010419,,
12,3,"[0.036031062597456365, 0.06734416728822452, 0.06734416728822452]","[0.526293468215285, 0.26592697199368337, 1.7137344449651906]",10,79.66793880681931,93.299621336,0.8538934849468585,0.014891247690491391,111001001010,93.29962133393254,0.007445623845245696,0.036031062597456365,0.526293468215285,0.06734416728822452,0.26592697199368337,0.06734416728822452,1.7137344449651906
