n,p,esperanza_muestral_media,esperanza_muestral_std,razon_muestral_media,razon_muestral_std,razon_muestral_minima,razon_muestral_maxima,frecuencia_optimo_media,shots_optimos_media,tasa_ejecuciones_con_optimo,mejor_costo_observado,esperanza_ideal,razon_ideal,probabilidad_optimo_ideal,error_razon,ic95_razon,probabilidad_al_menos_un_optimo_teorica
6,1,32.16496730758386,0.19095206349532626,0.8397771399709991,0.004985460616832568,0.8283303659722937,0.849235138307011,0.15592447916666666,79.83333333333333,1.0,38.30178957666869,32.11344632476574,0.8384320074488437,0.1574175064698995,0.0013451325221554011,0.0017840241697366405,1.0
6,2,33.63474420677774,0.16604240601695605,0.8781507229128808,0.004335108302937577,0.8700753012197461,0.8902978645284376,0.21901041666666668,112.13333333333334,1.0,38.30178957666869,33.631223127940316,0.8780587930350287,0.2184214864847911,9.192987785211493e-05,0.0015512985830746086,1.0
6,3,35.18069458254503,0.18629445248974022,0.9185130765470113,0.004863857656320708,0.9078938078466583,0.9273107867640407,0.3844401041666667,196.83333333333334,1.0,38.30178957666869,35.13598452098282,0.9173457665582401,0.3792347701492646,0.0011673099887712368,0.0017405091091758935,1.0
8,1,34.25533425736039,0.29305626509587046,0.8113909734191224,0.00694149432074564,0.7949646349745776,0.8249446455021551,0.0462890625,23.7,1.0,42.218037146668195,34.26318835186908,0.8115770098869278,0.04687826369593861,-0.00018603646780546157,0.00248398184121404,0.9999999999789153
8,2,36.077090757099754,0.14220829217595288,0.8545421150355124,0.003368425009372748,0.847183741480348,0.8614722361742142,0.07526041666666666,38.53333333333333,1.0,42.218037146668195,36.09238531050085,0.8549043903669657,0.07680697959434885,-0.00036227533145338775,0.0012053754091200298,1.0
8,3,37.792511825450305,0.18059293586537495,0.8951745362524665,0.004277625111567525,0.8849554390468464,0.9024706383829972,0.15384114583333333,78.76666666666667,1.0,42.218037146668195,37.7619525204957,0.8944506914927616,0.15349086921443938,0.0007238447597048836,0.0015307284872219766,1.0
10,1,68.99042495871025,0.4618001598565688,0.7923099289590693,0.005303472939443756,0.7832400948340041,0.8047264422524589,0.016471354166666667,8.433333333333334,1.0,87.07504782611689,69.11824886981353,0.7937779030146882,0.01645128132388452,-0.001467974055618937,0.0018978234178736958,0.9997951249867102
10,2,73.26986367934366,0.43506657512808955,0.841456485032017,0.004996455195608733,0.8324520329924091,0.8513994123296436,0.026888020833333335,13.766666666666667,1.0,87.07504782611689,73.42394926211966,0.8432260572185334,0.02711137555304355,-0.0017695721865164105,0.0017879585292232096,0.9999992267494988
10,3,75.99820865231139,0.3518643644488177,0.8727897434226074,0.004040932198439406,0.8639764540628856,0.8805930659903356,0.04147135416666667,21.233333333333334,1.0,87.07504782611689,75.86173388975661,0.871222419993462,0.042463598560791,0.0015673234291454508,0.0014460290160436806,0.9999999997753481
12,1,72.84662305215143,0.7493670234229021,0.7807815509755268,0.008031833491844545,0.7539351254101168,0.7927497193429537,0.005729166666666666,2.933333333333333,0.9333333333333333,93.29962133393254,72.86035909199637,0.780928776008686,0.005384685560880819,-0.0001472250331592262,0.0028741547026510453,0.9369866354759472
12,2,77.00132750389301,0.39276289390098634,0.8253123260445835,0.0042096944047235576,0.8165313372895603,0.8348050575401728,0.0091796875,4.7,1.0,93.29962133393254,77.06269077982085,0.8259700272769053,0.009035508882642148,-0.0006577012323217835,0.0015064197959713116,0.9904116575777905
12,3,79.64213195044321,0.3701431487755315,0.8536168830056443,0.003967252422628036,0.8467132972065904,0.8630609347374792,0.014127604166666667,7.233333333333333,1.0,93.29962133393254,79.66793880681931,0.8538934849468585,0.014891247690491391,-0.0002766019412141496,0.0014196630468843907,0.9995387897567883
