n,p,repeticion,seed,esperanza_ideal,razon_ideal,probabilidad_optimo_ideal,shots,esperanza_muestral,razon_muestral,shots_optimos,frecuencia_optimo,encontro_optimo,bitstring_mas_frecuente,costo_bitstring_mas_frecuente,frecuencia_mas_alta,bitstring_mejor_observado,costo_mejor_observado
6,1,1,603027,32.11344632476574,0.8384320074488437,0.1574175064698995,512,32.13816622897144,0.8390774056006811,78,0.15234375,True,011101,38.30178957666869,0.08203125,011101,38.30178957666869
6,1,2,603028,32.11344632476574,0.8384320074488437,0.1574175064698995,512,32.11307558327404,0.8384223279666111,86,0.16796875,True,100010,38.30178957666869,0.09765625,100010,38.30178957666869
6,1,3,603029,32.11344632476574,0.8384320074488437,0.1574175064698995,512,31.943646405301493,0.8339987963290746,57,0.111328125,True,001111,32.5239569467961,0.080078125,100010,38.30178957666869
6,1,4,603030,32.11344632476574,0.8384320074488437,0.1574175064698995,512,32.0818112790627,0.8376060657356343,87,0.169921875,True,100010,38.30178957666869,0.08984375,100010,38.30178957666869
6,1,5,603031,32.11344632476574,0.8384320074488437,0.1574175064698995,512,32.17140477271047,0.839945212147196,88,0.171875,True,100010,38.30178957666869,0.08984375,100010,38.30178957666869
6,1,6,603032,32.11344632476574,0.8384320074488437,0.1574175064698995,512,31.912616239213705,0.8331886470794007,70,0.13671875,True,001111,32.5239569467961,0.09375,100010,38.30178957666869
6,1,7,603033,32.11344632476574,0.8384320074488437,0.1574175064698995,512,32.19778121075491,0.8406338598144474,74,0.14453125,True,011101,38.30178957666869,0.080078125,011101,38.30178957666869
6,1,8,603034,32.11344632476574,0.8384320074488437,0.1574175064698995,512,32.24405107724532,0.8418418938776124,79,0.154296875,True,011101,38.30178957666869,0.0859375,011101,38.30178957666869
6,1,9,603035,32.11344632476574,0.8384320074488437,0.1574175064698995,512,32.26574895586417,0.8424083916537716,77,0.150390625,True,011101,38.30178957666869,0.080078125,011101,38.30178957666869
6,1,10,603036,32.11344632476574,0.8384320074488437,0.1574175064698995,512,32.17338677208093,0.8399969590601288,90,0.17578125,True,100010,38.30178957666869,0.09375,100010,38.30178957666869
6,1,11,603037,32.11344632476574,0.8384320074488437,0.1574175064698995,512,31.72653537853852,0.8283303659722937,69,0.134765625,True,001111,32.5239569467961,0.07421875,100010,38.30178957666869
6,1,12,603038,32.11344632476574,0.8384320074488437,0.1574175064698995,512,31.991335328782515,0.8352438797574587,66,0.12890625,True,011001,36.334643907165976,0.0859375,100010,38.30178957666869
6,1,13,603039,32.11344632476574,0.8384320074488437,0.1574175064698995,512,32.52470397333308,0.8491693033584731,85,0.166015625,True,110000,32.5239569467961,0.107421875,100010,38.30178957666869
6,1,14,603040,32.11344632476574,0.8384320074488437,0.1574175064698995,512,32.38136276534544,0.8454268879369761,82,0.16015625,True,011101,38.30178957666869,0.087890625,011101,38.30178957666869
6,1,15,603041,32.11344632476574,0.8384320074488437,0.1574175064698995,512,32.30803711758726,0.843512469614332,65,0.126953125,True,011001,36.334643907165976,0.083984375,100010,38.30178957666869
6,1,16,603042,32.11344632476574,0.8384320074488437,0.1574175064698995,512,32.17382308326906,0.8400083504648892,83,0.162109375,True,100010,38.30178957666869,0.087890625,100010,38.30178957666869
6,1,17,603043,32.11344632476574,0.8384320074488437,0.1574175064698995,512,32.44641602393568,0.8471253270779923,98,0.19140625,True,100010,38.30178957666869,0.1015625,100010,38.30178957666869
