n,estado_sdp,limite_sdp,runtime_sdp
6,optimal,38.30183200994658,0.036767511000107334
8,optimal,42.21803817449463,0.03249147099995753
10,optimal,87.07505641595269,0.041500614999677055
12,optimal,93.2996207046168,0.040868267999940144
