n,ejecucion,seed,pasos,mejor_valor,mejor_bitstring,valor_final,bitstring_final,movimientos_aceptados,movimientos_peores_aceptados,temperatura_inicial,temperatura_final,runtime_seconds
6,0,6002026,2000,38.301789578,100010,38.301789578,011101,264,131,20.175856253,0.020106256777750006,0.047521382000013546
6,1,6002027,2000,38.301789578,011101,38.301789578,011101,321,169,20.175856253,0.020106256777750006,0.05163331099993229
6,2,6002028,2000,38.301789578,011101,38.301789578,100010,324,158,20.175856253,0.020106256777750006,0.04528967099986403
6,3,6002029,2000,38.301789578,011101,38.301789578,011101,303,155,20.175856253,0.020106256777750006,0.056116321999979846
6,4,6002030,2000,38.301789578,100010,38.301789578,100010,321,159,20.175856253,0.020106256777750006,0.04774778399996649
6,5,6002031,2000,38.301789578,100010,38.301789578,011101,309,153,20.175856253,0.020106256777750006,0.05259674899980382
6,6,6002032,2000,38.301789578,100010,38.301789578,100010,310,155,20.175856253,0.020106256777750006,0.054308426000261534
6,7,6002033,2000,38.301789578,100010,38.301789578,100010,320,159,20.175856253,0.020106256777750006,0.04945601000008537
6,8,6002034,2000,38.301789578,011101,38.301789578,011101,316,156,20.175856253,0.020106256777750006,0.04636495200020363
6,9,6002035,2000,38.301789578,011101,32.523956948000006,100001,321,163,20.175856253,0.020106256777750006,0.055498765999800526
6,10,6002036,2000,38.301789578,011101,38.301789578,100010,328,161,20.175856253,0.020106256777750006,0.04990130400028647
6,11,6002037,2000,38.301789578,011101,38.301789578,100010,340,171,20.175856253,0.020106256777750006,0.048465040999872144
6,12,6002038,2000,38.301789578,011101,38.301789578,011101,303,151,20.175856253,0.020106256777750006,0.047952796000117814
6,13,6002039,2000,38.301789578,011101,38.301789578,011101,280,137,20.175856253,0.020106256777750006,0.04918759800011685
6,14,6002040,2000,38.301789578,100010,38.301789578,011101,317,158,20.175856253,0.020106256777750006,0.04645894299983411
6,15,6002041,2000,38.301789578,100010,38.301789578,011101,309,153,20.175856253,0.020106256777750006,0.05712823100020614
6,16,6002042,2000,38.301789578,011101,38.301789578,100010,340,170,20.175856253,0.020106256777750006,0.05063438099978157
6,17,6002043,2000,38.301789578,011101,38.301789578,100010,327,159,20.175856253,0.020106256777750006,0.04876984399970752
6,18,6002044,2000,38.301789578,100010,38.301789578,011101,315,160,20.175856253,0.020106256777750006,0.05058978999977626
6,19,6002045,2000,38.301789578,100010,38.301789578,011101,320,158,20.175856253,0.020106256777750006,0.04821437900000092
6,20,6002046,2000,38.301789578,011101,32.523956948000006,011110,306,152,20.175856253,0.020106256777750006,0.045375582999895414
6,21,6002047,2000,38.301789578,100010,38.301789578,100010,336,165,20.175856253,0.020106256777750006,0.04666506300009132
6,22,6002048,2000,38.301789578,011101,38.301789578,100010,322,165,20.175856253,0.020106256777750006,0.056025142000180495
6,23,6002049,2000,38.301789578,011101,38.301789578,100010,300,146,20.175856253,0.020106256777750006,0.04454335499985973
6,24,6002050,2000,38.301789578,011101,38.301789578,100010,334,168,20.175856253,0.020106256777750006,0.045612943999913114
6,25,6002051,2000,38.301789578,011101,38.301789578,011101,303,153,20.175856253,0.020106256777750006,0.048948524999559595
6,26,6002052,2000,38.301789578,011101,38.301789578,011101,321,157,20.175856253,0.020106256777750006,0.045734796000033384
6,27,6002053,2000,38.301789578,100010,32.523956948000006,100001,330,160,20.175856253,0.020106256777750006,0.054546067000046605
6,28,6002054,2000,38.301789578,100010,32.523956948000006,011110,302,151,20.175856253,0.020106256777750006,0.058636765999835916
6,29,6002055,2000,38.301789578,100010,32.523956948000006,011110,323,165,20.175856253,0.020106256777750006,0.05598947099997531
6,30,6002056,2000,38.301789578,011101,38.301789578,011101,305,156,20.175856253,0.020106256777750006,0.050992523999866535
6,31,6002057,2000,38.301789578,100010,38.301789578,100010,329,167,20.175856253,0.020106256777750006,0.04761494300009872
6,32,6002058,2000,38.301789578,100010,38.301789578,011101,304,144,20.175856253,0.020106256777750006,0.044986348999827896
6,33,6002059,2000,38.301789578,100010,38.301789578,100010,311,155,20.175856253,0.020106256777750006,0.046128619000228355
6,34,6002060,2000,38.301789578,100010,38.301789578,011101,321,160,20.175856253,0.020106256777750006,0.049318149000100675
6,35,6002061,2000,38.301789578,011101,38.301789578,011101,330,163,20.175856253,0.020106256777750006,0.0448639070000354
6,36,6002062,2000,38.301789578,100010,38.301789578,100010,332,157,20.175856253,0.020106256777750006,0.05465460000004896
6,37,6002063,2000,38.301789578,100010,38.301789578,011101,313,155,20.175856253,0.020106256777750006,0.05596267999999327
6,38,6002064,2000,38.301789578,100010,38.301789578,100010,344,173,20.175856253,0.020106256777750006,0.05445461699991938
6,39,6002065,2000,38.301789578,100010,38.301789578,100010,304,150,20.175856253,0.020106256777750006,0.04960609099998692
6,40,6002066,2000,38.301789578,011101,38.301789578,100010,336,168,20.175856253,0.020106256777750006,0.04793966600027488
6,41,6002067,2000,38.301789578,100010,38.301789578,011101,329,164,20.175856253,0.020106256777750006,0.04851109200035353
6,42,6002068,2000,38.301789578,100010,38.301789578,100010,321,156,20.175856253,0.020106256777750006,0.04593425700022635
6,43,6002069,2000,38.301789578,011101,38.301789578,100010,313,154,20.175856253,0.020106256777750006,0.04877847499983545
6,44,6002070,2000,38.301789578,011101,38.301789578,011101,293,146,20.175856253,0.020106256777750006,0.04699277700001403
6,45,6002071,2000,38.301789578,011101,38.301789578,011101,306,149,20.175856253,0.020106256777750006,0.055770528000266495
6,46,6002072,2000,38.301789578,011101,38.301789578,011101,313,161,20.175856253,0.020106256777750006,0.05398492199992688
6,47,6002073,2000,38.301789578,011101,38.301789578,100010,316,165,20.175856253,0.020106256777750006,0.04658249399972192
6,48,6002074,2000,38.301789578,100010,38.301789578,011101,320,158,20.175856253,0.020106256777750006,0.047795764000056806
6,49,6002075,2000,38.301789578,011101,38.301789578,011101,335,169,20.175856253,0.020106256777750006,0.048215269000138505
6,50,6002076,2000,38.301789578,011101,38.301789578,011101,308,153,20.175856253,0.020106256777750006,0.047947266999926796
6,51,6002077,2000,38.301789578,011101,38.301789578,100010,312,162,20.175856253,0.020106256777750006,0.043918828000187204
6,52,6002078,2000,38.301789578,100010,38.301789578,100010,337,167,20.175856253,0.020106256777750006,0.04494650900005581
6,53,6002079,2000,38.301789578,100010,38.301789578,011101,327,162,20.175856253,0.020106256777750006,0.052771261000089
6,54,6002080,2000,38.301789578,011101,38.301789578,011101,319,163,20.175856253,0.020106256777750006,0.05248486799973762
6,55,6002081,2000,38.301789578,011101,38.301789578,100010,324,161,20.175856253,0.020106256777750006,0.04943314000001919
6,56,6002082,2000,38.301789578,100010,38.301789578,011101,340,169,20.175856253,0.020106256777750006,0.05252555799961556
6,57,6002083,2000,38.301789578,011101,38.301789578,011101,329,162,20.175856253,0.020106256777750006,0.046864906000337214
6,58,6002084,2000,38.301789578,100010,38.301789578,100010,341,168,20.175856253,0.020106256777750006,0.053629299000022
6,59,6002085,2000,38.301789578,011101,38.301789578,100010,307,152,20.175856253,0.020106256777750006,0.06106306899982883
6,60,6002086,2000,38.301789578,100010,38.301789578,011101,305,150,20.175856253,0.020106256777750006,0.05111137499989127
6,61,6002087,2000,38.301789578,100010,38.301789578,011101,296,152,20.175856253,0.020106256777750006,0.04835188000015478
6,62,6002088,2000,38.301789578,100010,38.301789578,011101,310,152,20.175856253,0.020106256777750006,0.048011635999955615
6,63,6002089,2000,38.301789578,011101,38.301789578,100010,297,149,20.175856253,0.020106256777750006,0.04980669399992621
6,64,6002090,2000,38.301789578,011101,38.301789578,100010,313,155,20.175856253,0.020106256777750006,0.04780636499981483
6,65,6002091,2000,38.301789578,011101,38.301789578,011101,305,153,20.175856253,0.020106256777750006,0.04732179099983114
6,66,6002092,2000,38.301789578,011101,38.301789578,011101,307,157,20.175856253,0.020106256777750006,0.053938122000090516
6,67,6002093,2000,38.301789578,011101,38.301789578,100010,320,154,20.175856253,0.020106256777750006,0.04767553300007421
6,68,6002094,2000,38.301789578,100010,38.301789578,100010,293,141,20.175856253,0.020106256777750006,0.05367130900003758
6,69,6002095,2000,38.301789578,100010,38.301789578,011101,283,135,20.175856253,0.020106256777750006,0.054003172000193445
6,70,6002096,2000,38.301789578,011101,38.301789578,100010,329,165,20.175856253,0.020106256777750006,0.05569591000039509
6,71,6002097,2000,38.301789578,100010,38.301789578,100010,320,159,20.175856253,0.020106256777750006,0.055203583000093204
6,72,6002098,2000,38.301789578,100010,38.301789578,011101,310,150,20.175856253,0.020106256777750006,0.04932291900013297
6,73,6002099,2000,38.301789578,100010,38.301789578,011101,323,160,20.175856253,0.020106256777750006,0.05065015099989978
6,74,6002100,2000,38.301789578,011101,38.301789578,011101,299,149,20.175856253,0.020106256777750006,0.051663449999978184
6,75,6002101,2000,38.301789578,100010,38.301789578,100010,323,165,20.175856253,0.020106256777750006,0.05539539599976706
6,76,6002102,2000,38.301789578,011101,38.301789578,100010,312,148,20.175856253,0.020106256777750006,0.05522017399971446
6,77,6002103,2000,38.301789578,100010,38.301789578,011101,305,151,20.175856253,0.020106256777750006,0.05212984499985396
6,78,6002104,2000,38.301789578,100010,38.301789578,100010,318,158,20.175856253,0.020106256777750006,0.04942625000012413
6,79,6002105,2000,38.301789578,011101,38.301789578,100010,265,131,20.175856253,0.020106256777750006,0.05041204799999832
6,80,6002106,2000,38.301789578,100010,38.301789578,011101,289,147,20.175856253,0.020106256777750006,0.05246697799975664
6,81,6002107,2000,38.301789578,100010,38.301789578,100010,298,144,20.175856253,0.020106256777750006,0.05011602700005824
6,82,6002108,2000,38.301789578,100010,38.301789578,011101,321,165,20.175856253,0.020106256777750006,0.06270690300016213
6,83,6002109,2000,38.301789578,011101,38.301789578,011101,340,169,20.175856253,0.020106256777750006,0.05287874199984799
