n,p,razon_ideal,razon_muestral_media,razon_muestral_std,probabilidad_optimo_ideal,optimos_esperados_en_512,operaciones_h,operaciones_rx,operaciones_zz,delta_razon_vs_p_anterior,ganancia_por_zz_adicional
6,1,0.8384320074488437,0.8397771399709991,0.0049854606168325,0.1574175064698995,80.59776331258854,6,6,5,,
6,2,0.8780587930350287,0.8781507229128808,0.0043351083029375,0.2184214864847911,111.83180108021304,6,12,10,0.03962678558618493,0.007925357117236987
6,3,0.91734576655824,0.9185130765470112,0.0048638576563207,0.3792347701492646,194.16820231642347,6,18,15,0.03928697352321131,0.007857394704642261
8,1,0.8115770098869278,0.8113909734191224,0.0069414943207456,0.0468782636959386,24.001671012320564,8,8,7,,
8,2,0.8549043903669657,0.8545421150355124,0.0033684250093727,0.0768069795943488,39.32517355230659,8,16,14,0.043327380480037925,0.006189625782862561
8,3,0.8944506914927616,0.8951745362524665,0.0042776251115675,0.1534908692144393,78.58732503779292,8,24,21,0.039546301125795824,0.005649471589399403
10,1,0.7937779030146882,0.7923099289590693,0.0053034729394437,0.0164512813238845,8.423056037828864,10,10,9,,
10,2,0.8432260572185334,0.841456485032017,0.0049964551956087,0.0271113755530435,13.881024283158272,10,20,18,0.049448154203845185,0.0054942393559827985
10,3,0.871222419993462,0.8727897434226074,0.0040409321984394,0.042463598560791,21.741362463124993,10,30,27,0.027996362774928563,0.0031107069749920623
12,1,0.780928776008686,0.7807815509755268,0.0080318334918445,0.0053846855608808,2.7569590071709698,12,12,11,,
12,2,0.8259700272769053,0.8253123260445835,0.0042096944047235,0.0090355088826421,4.626180547912755,12,24,22,0.04504125126821923,0.004094659206201748
12,3,0.8538934849468585,0.8536168830056443,0.003967252422628,0.0148912476904913,7.624318817531545,12,36,33,0.02792345766995319,0.0025384961518139263
