n,reinicios,convergencias,media,mediana,desviacion,peor,mejor_reinicio
6,12,12,0.8944000476644276,0.8977022797967291,0.02633117860355951,0.8384320074488398,0.91734576655824
8,12,12,0.8743624509836345,0.8944506914925641,0.027437926559627655,0.8115770098869259,0.8944506914927616
10,12,12,0.8533083202276476,0.8584528054379925,0.023226378231182034,0.7937779030146852,0.871222419993462
12,12,11,0.8395878924258738,0.8538934849468187,0.022044963014519078,0.7809287760086554,0.8538934849468585
