job_id,hugr_id,grafo,n,p,shots_configurados,registro,bitstring,frecuencia,probabilidad,costo
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,011101,102,0.19921875,32.523956948000006
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,100010,99,0.193359375,32.523956948000006
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,100110,55,0.107421875,29.609671155
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,011001,46,0.08984375,29.609671155
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,011100,33,0.064453125,23.903765955
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,100011,29,0.056640625,23.903765955
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,001111,23,0.044921875,10.659264093
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,110000,23,0.044921875,10.659264093
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,011000,22,0.04296875,20.989480162
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,100111,15,0.029296875,20.989480162
a0ee7567-39f4-4816-a0eb-227624bdce85,2ac5be14-b839-46bd-b37a-43d2162ffd90,G6,6,3,512,c,001110,11,0.021484375,19.279455086
