job_id,grafo,n,p,shots_recibidos,estados_observados
a0ee7567-39f4-4816-a0eb-227624bdce85,G10,10,3,512,185
a0ee7567-39f4-4816-a0eb-227624bdce85,G12,12,3,512,342
a0ee7567-39f4-4816-a0eb-227624bdce85,G6,6,3,512,29
a0ee7567-39f4-4816-a0eb-227624bdce85,G8,8,3,512,77
