node_id,objectid,name,region,province,canton,district,longitude,latitude,geometry_type,geometry_valid,source_layer,source_url
ST_32,32,Torito,Huetar Brunca,Cartago,Turrialba,Pavones,-83.623099713,9.947946463,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_33,33,Venecia,Central,Alajuela,San Carlos,Venecia,-84.250106543,10.33532011,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_34,34,Trapiche,Huetar Brunca,Limón,Siquirres,Siquirres,-83.526675494,10.0990431,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_35,35,Miravalles,Chorotega,Guanacaste,Bagaces,Fortuna,-85.193255654,10.701492717,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_36,36,El Este,Central,Cartago,La Union,San Juan,-83.996569195,9.910282684,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_37,37,Lindora,Central,San Jose,Santa Ana,Pozos,-84.212897331,9.959517584,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_38,38,Colima,Central,San Jose,Tibas,Colima,-84.090536779,9.952220777,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_39,39,Cobano,Chorotega,Puntarenas,Puntarenas,Cobano,-85.125848806,9.707036973,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_40,40,Tanque,Chorotega,Guanacaste,Tilaran,Santa Rosa,-84.996278677,10.481995271,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_41,41,Anonos,Central,San Jose,San Jose,Mata Redonda,-84.118620825,9.932062037,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_42,42,Turrialba,Huetar Brunca,Cartago,Turrialba,Turrialba,-83.673071046,9.895804779,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_43,43,Toro,Central,Alajuela,Grecia,Rio Cuarto,-84.257940247,10.275032047,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_44,44,San Miguel,Central,Heredia,Santo Domingo,San Miguel,-84.055369877,9.980248729,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_45,45,San Isidro,Huetar Brunca,San Jose,Perez Zeledon,Daniel Flores,-83.680535667,9.361730797,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_46,46,Santa Rita,Chorotega,Guanacaste,Nandayure,Santa Rita,-85.265996612,10.031665126,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_47,47,Sandillal,Chorotega,Guanacaste,Cañas,Cañas,-85.103279828,10.465289069,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_48,48,Tejona,Chorotega,Guanacaste,Tilaran,Santa Rosa,-84.989245413,10.524171609,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_49,49,Tejar,Huetar Brunca,Cartago,El Guarco,San Isidro,-83.951825495,9.823784354,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_50,50,Tarbaca,Central,San Jose,Aserri,Tarbaca,-84.117308993,9.829920014,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_52,52,Sabanilla,Central,San Jose,Montes de Oca,Mercedes,-84.04260265,9.94757062,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_53,53,Rio Macho,Huetar Brunca,Cartago,Paraiso,Orosi,-83.841807792,9.77611,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_54,54,Rio Claro,Huetar Brunca,Puntarenas,Golfito,Guaycara,-83.069484198,8.685285275,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_55,55,Poas,Central,Alajuela,Poas,Carrillos,-84.284137069,10.025884625,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_56,56,Pirris,Chorotega,San José,Aserri,Legua,-84.198203474,9.631728284,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_57,57,Peñas Blancas,Central,Alajuela,San Ramon,Peñas Blancas,-84.575199636,10.391252685,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_58,58,Parrita,Chorotega,Puntarenas,Parrita,Parrita,-84.228361211,9.554851763,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_59,59,Papagayo,Chorotega,Guanacaste,Liberia,Nacascolo,-85.605598355,10.663713732,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_60,60,Jacó,Chorotega,San Jose,Turrubares,Carara,-84.532553903,9.594588917,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_61,61,Coyol,Central,Alajuela,Alajuela, San José,-84.269464453,9.9921685,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_62,62,Balsa,Central,Alajuela,San Ramón,Angeles,-84.520991857,10.255521457,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_63,63,Escazú,Central,San José,Escazú,San Rafael,-84.16153389,9.93551832,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_64,64,Coronado,Central,San José,Vazquez de Coronado,Dulce Nombre,-84.016020249,9.992876487,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_67,67,General,Huetar Brunca,Heredia,Sarapiquí,Horquetas,-83.915623398,10.214331654,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_68,68,Río Blanco,Huetar Brunca,Limón,Limón,Río Blanco,-83.100194099,10.012408061,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_69,69,Guadalupe,Central,San José,Goicoechea,Calle Blancos,-84.058258301,9.951045556,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_70,70,Uruca,Central,San José,San José,Uruca,-84.091867739,9.948067492,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_71,71,Los Ángeles,Central,San José,San José,Hospital,-84.085475829,9.928693108,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_72,72,Chucás,Central,San José,Mora,Picagres,-84.381043166,9.927740111,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_73,73,Higuito,Central,San José,Desamparados,San Rafael Arriba,-84.067549623,9.867196621,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_74,74,Fortuna,Chorotega,Guanacaste,Bagaces,Fortuna,-85.206783211,10.7118466,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_75,75,Ribera,Central,Heredia,Belen,La Ribera,-84.169551419,9.991047925,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
